row,metric,point,ci_lo,ci_hi
bt,spearman,0.26587184595787233,0.1555492821356384,0.4043959780440859
bt,kendall_tau,0.1780004150529427,0.0635087190173443,0.2871086034582383
bt,pairwise_accuracy,0.6101604278074866,0.5711229946524065,0.6620320855614973
bt,recall_at_1,0.25,0.17708333333333334,0.42568358120546335
bt,recall_at_2,0.2916666666666667,0.125,0.3958333333333333
bt,recall_at_3,0.375,0.15794152203502027,0.4548611111111111
gemini,spearman,0.37047104510594037,0.2482151290741135,0.5160189568907162
gemini,kendall_tau,0.2984123513813909,0.1797154927740615,0.4113571005137546
gemini,pairwise_accuracy,0.6540106951871658,0.6176470588235294,0.7155080213903743
gemini,recall_at_1,0.2708333333333333,0.16666666666666666,0.43100850336408664
gemini,recall_at_2,0.5138888888888888,0.47222222222222215,0.7082147591681228
gemini,recall_at_3,0.5777777777777777,0.48680555555555555,0.7711282287008028
hbt,spearman,0.22807090710677838,0.09798365141194244,0.3823772105598151
hbt,kendall_tau,0.16528771372723391,0.04396041980079891,0.28488236276985807
hbt,pairwise_accuracy,0.6133689839572193,0.56951871657754,0.6705882352941176
hbt,recall_at_1,0.3333333333333333,0.2708333333333333,0.5343766631366191
hbt,recall_at_2,0.5,0.4236111111111111,0.7266483049602609
hbt,recall_at_3,0.6666666666666666,0.625,0.8333333333333334
ksvm,spearman,0.2881552334185547,0.16647217230995962,0.43599148311930985
ksvm,kendall_tau,0.20625282283423177,0.08629258891364806,0.32170396430527315
ksvm,pairwise_accuracy,0.6176470588235294,0.5780748663101605,0.6745691209271766
ksvm,recall_at_1,0.16666666666666666,0.041666666666666664,0.25
ksvm,recall_at_2,0.2916666666666667,0.11476398327979791,0.3958333333333333
ksvm,recall_at_3,0.4166666666666667,0.20842858880210366,0.5208333333333334
lgbm,spearman,0.13556789131281147,-0.005177176966985505,0.2928600906361906
lgbm,kendall_tau,0.09187043528561291,-0.03339736218551867,0.21688391660770087
lgbm,pairwise_accuracy,0.5577540106951872,0.506951871657754,0.6149732620320856
lgbm,recall_at_1,0.2916666666666667,0.25,0.45823874704679685
lgbm,recall_at_2,0.3333333333333333,0.20833333333333334,0.4930555555555555
lgbm,recall_at_3,0.4583333333333333,0.3333333333333333,0.6421432172058542
mean,spearman,0.3100476664383195,0.20234380009932731,0.45120643124101945
mean,kendall_tau,0.21630242739621766,0.10108901807695937,0.32122340942102406
mean,pairwise_accuracy,0.6229946524064172,0.5877005347593582,0.6775401069518716
mean,recall_at_1,0.16666666666666666,0.03472222222222222,0.2569444444444444
mean,recall_at_2,0.375,0.25664214128214186,0.5514165769109494
mean,recall_at_3,0.4166666666666667,0.1875,0.4895833333333333
mmrf_cos,spearman,0.2116417910352366,0.0721665461358243,0.3691484233084536
mmrf_cos,kendall_tau,0.15100314857970307,0.018369779206961166,0.27256949498615496
mmrf_cos,pairwise_accuracy,0.574331550802139,0.5267379679144385,0.6320855614973262
mmrf_cos,recall_at_1,0.20833333333333334,0.10416666666666667,0.32083333333333336
mmrf_cos,recall_at_2,0.2916666666666667,0.13888888888888887,0.3958333333333333
mmrf_cos,recall_at_3,0.3333333333333333,0.16356983962463706,0.38472222222222224
mmrf_l2,spearman,0.20187752811188897,0.060629773632647335,0.353243969735589
mmrf_l2,kendall_tau,0.1527125613251604,0.026070744443191487,0.2735742416708416
mmrf_l2,pairwise_accuracy,0.5705882352941176,0.5219251336898396,0.6283422459893048
mmrf_l2,recall_at_1,0.2222222222222222,0.10416666666666667,0.33819444444444446
mmrf_l2,recall_at_2,0.40277777777777773,0.28750000000000003,0.5833333333333334
mmrf_l2,recall_at_3,0.5416666666666666,0.4375,0.7192348927498099
nnls,spearman,0.4166413753840694,0.3108126445805823,0.5521200435105993
nnls,kendall_tau,0.3217151669843717,0.20797122849297017,0.4281957547068872
nnls,pairwise_accuracy,0.6828877005347593,0.6529411764705882,0.7401069518716578
nnls,recall_at_1,0.2916666666666667,0.18055555555555558,0.45138888888888884
nnls,recall_at_2,0.5,0.4236111111111111,0.6908587603981635
nnls,recall_at_3,0.5416666666666666,0.375,0.6836131162884725
qwen,spearman,0.3204353201136963,0.19647469256503616,0.46173787780946013
qwen,kendall_tau,0.2553172050376972,0.13803054329567302,0.36541963102682296
qwen,pairwise_accuracy,0.6299465240641712,0.5893048128342246,0.6903743315508022
qwen,recall_at_1,0.22916666666666666,0.13194444444444442,0.3541666666666667
qwen,recall_at_2,0.3541666666666667,0.2111111111111111,0.48263888888888884
qwen,recall_at_3,0.5,0.37152777777777773,0.65625
rankavg,spearman,0.3982211409080246,0.2922289179166169,0.5316225692309394
rankavg,kendall_tau,0.3038110701955088,0.19061787067767766,0.40935429263036777
rankavg,pairwise_accuracy,0.6705882352941176,0.6406417112299465,0.7236559182353888
rankavg,recall_at_1,0.2638888888888889,0.18541666666666665,0.42013888888888884
rankavg,recall_at_2,0.3611111111111111,0.20833333333333334,0.48263888888888884
rankavg,recall_at_3,0.5208333333333334,0.37222222222222223,0.6708333333333334
ridge,spearman,0.1604162143792494,0.028161280739424508,0.3011573468307622
ridge,kendall_tau,0.11483871480504479,-0.005281302618200113,0.22738243562656188
ridge,pairwise_accuracy,0.5791443850267379,0.5342245989304812,0.6331550802139038
ridge,recall_at_1,0.25,0.18055555555555555,0.4317089258726254
ridge,recall_at_2,0.2916666666666667,0.12077697296668465,0.3958333333333333
ridge,recall_at_3,0.5416666666666666,0.4861111111111111,0.7183019430105004
