pair_id,category,product_code_1,product_code_2,higher_rated_product
44,Bacon,2,1,1
34,Bacon,3,1,1
33,Bacon,3,2,2
32,Bacon,3,4,4
30,Bacon,3,7,7
31,Bacon,3,9,9
43,Bacon,4,1,4
42,Bacon,4,2,4
23,Bacon,5,1,5
22,Bacon,5,2,5
18,Bacon,5,3,5
21,Bacon,5,4,5
19,Bacon,5,7,5
17,Bacon,5,8,5
20,Bacon,5,9,5
16,Bacon,6,1,6
15,Bacon,6,2,6
11,Bacon,6,3,6
14,Bacon,6,4,6
9,Bacon,6,5,5
12,Bacon,6,7,6
10,Bacon,6,8,6
13,Bacon,6,9,6
38,Bacon,7,1,7
37,Bacon,7,2,7
36,Bacon,7,4,7
35,Bacon,7,9,7
29,Bacon,8,1,8
28,Bacon,8,2,8
24,Bacon,8,3,8
27,Bacon,8,4,8
25,Bacon,8,7,8
26,Bacon,8,9,8
41,Bacon,9,1,9
40,Bacon,9,2,9
39,Bacon,9,4,9
8,Bacon,10,1,10
7,Bacon,10,2,10
3,Bacon,10,3,10
6,Bacon,10,4,10
1,Bacon,10,5,5
0,Bacon,10,6,6
4,Bacon,10,7,10
2,Bacon,10,8,8
5,Bacon,10,9,10
76,Barista_Milk,1,2,2
77,Barista_Milk,1,3,3
74,Barista_Milk,1,4,4
78,Barista_Milk,1,9,9
75,Barista_Milk,1,10,10
86,Barista_Milk,2,3,3
87,Barista_Milk,2,9,2
88,Barista_Milk,3,9,3
80,Barista_Milk,4,2,2
81,Barista_Milk,4,3,3
82,Barista_Milk,4,9,4
79,Barista_Milk,4,10,4
48,Barista_Milk,5,1,5
51,Barista_Milk,5,2,2
52,Barista_Milk,5,3,3
49,Barista_Milk,5,4,4
47,Barista_Milk,5,6,5
45,Barista_Milk,5,7,7
46,Barista_Milk,5,8,8
53,Barista_Milk,5,9,9
50,Barista_Milk,5,10,10
68,Barista_Milk,6,1,1
71,Barista_Milk,6,2,2
72,Barista_Milk,6,3,3
69,Barista_Milk,6,4,4
73,Barista_Milk,6,9,9
70,Barista_Milk,6,10,10
56,Barista_Milk,7,1,7
59,Barista_Milk,7,2,7
60,Barista_Milk,7,3,3
57,Barista_Milk,7,4,7
55,Barista_Milk,7,6,7
54,Barista_Milk,7,8,7
61,Barista_Milk,7,9,7
58,Barista_Milk,7,10,7
63,Barista_Milk,8,1,8
65,Barista_Milk,8,2,2
66,Barista_Milk,8,3,3
62,Barista_Milk,8,6,8
67,Barista_Milk,8,9,8
64,Barista_Milk,8,10,8
83,Barista_Milk,10,2,2
84,Barista_Milk,10,3,3
85,Barista_Milk,10,9,9
99,Bratwurst,1,2,1
103,Bratwurst,1,3,1
97,Bratwurst,1,5,5
102,Bratwurst,1,6,1
98,Bratwurst,1,7,1
101,Bratwurst,1,8,8
100,Bratwurst,1,9,9
118,Bratwurst,2,3,3
117,Bratwurst,2,6,2
116,Bratwurst,2,8,8
115,Bratwurst,2,9,9
89,Bratwurst,4,1,1
92,Bratwurst,4,2,4
96,Bratwurst,4,3,3
90,Bratwurst,4,5,5
95,Bratwurst,4,6,4
91,Bratwurst,4,7,4
94,Bratwurst,4,8,8
93,Bratwurst,4,9,9
105,Bratwurst,5,2,5
109,Bratwurst,5,3,5
108,Bratwurst,5,6,5
104,Bratwurst,5,7,5
107,Bratwurst,5,8,8
106,Bratwurst,5,9,5
124,Bratwurst,6,3,3
110,Bratwurst,7,2,7
114,Bratwurst,7,3,3
113,Bratwurst,7,6,7
112,Bratwurst,7,8,8
