category,gem_correct,bt_correct,adv,identification,contamination_sig,brand,external_recall
Bacon,1.0,0.0,1.0,False,False,False,False
Bacon,1.0,0.0,1.0,False,False,False,False
Bacon,0.0,0.0,0.0,False,False,False,False
Bacon,0.0,0.0,0.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,1.0,0.0,1.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,0.0,0.0,0.0,False,False,False,False
Bacon,0.0,0.0,0.0,False,False,False,False
Bacon,0.0,1.0,-1.0,False,False,False,False
Bacon,1.0,0.0,1.0,False,False,False,False
Bacon,1.0,0.0,1.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,1.0,0.0,1.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,0.0,1.0,-1.0,False,False,True,False
Bacon,0.0,1.0,-1.0,False,True,False,True
Bacon,0.0,0.0,0.0,False,False,False,False
Bacon,0.0,1.0,-1.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,0.0,1.0,-1.0,True,True,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,0.0,0.0,0.0,False,False,False,False
Bacon,0.0,0.0,0.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,0.0,0.0,0.0,False,False,False,False
Bacon,0.0,0.0,0.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,True,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,0.0,0.0,0.0,False,False,False,False
Bacon,0.0,1.0,-1.0,True,True,False,False
Bacon,1.0,0.0,1.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,0.0,0.0,0.0,False,False,False,False
Bacon,0.0,1.0,-1.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,0.0,0.0,0.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,1.0,0.0,1.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Bacon,1.0,0.0,1.0,False,False,False,False
Bacon,1.0,0.0,1.0,False,False,False,False
Bacon,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,True,True,False,False
Barista_Milk,1.0,0.0,1.0,False,False,False,False
Barista_Milk,0.0,0.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,0.0,1.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,0.0,1.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,0.0,0.0,0.0,False,False,False,False
Barista_Milk,0.0,0.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,0.0,1.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,True,False
Barista_Milk,0.0,0.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,0.0,1.0,-1.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,0.0,1.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,0.0,1.0,-1.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,0.0,1.0,-1.0,True,True,False,False
Barista_Milk,1.0,0.0,1.0,False,False,False,False
Barista_Milk,0.0,0.0,0.0,True,True,False,False
Barista_Milk,0.0,0.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,True,True,False,False
Barista_Milk,1.0,1.0,0.0,True,True,False,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,1.0,0.0,False,False,True,False
Barista_Milk,1.0,1.0,0.0,False,False,False,False
Barista_Milk,1.0,0.0,1.0,False,False,False,False
Barista_Milk,0.0,1.0,-1.0,False,False,False,False
Bratwurst,0.0,1.0,-1.0,False,False,True,False
Bratwurst,0.0,0.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,1.0,0.0,1.0,False,False,False,False
Bratwurst,0.0,1.0,-1.0,False,False,False,False
Bratwurst,0.0,0.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,True,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,0.0,1.0,-1.0,False,False,False,False
Bratwurst,0.0,0.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,True,True,False,False
Bratwurst,1.0,0.0,1.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,True,False
Bratwurst,1.0,0.0,1.0,False,False,False,False
Bratwurst,0.0,0.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,1.0,0.0,1.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,0.0,0.0,0.0,True,True,False,False
Bratwurst,1.0,1.0,0.0,False,True,False,True
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,True,True,False,False
Bratwurst,1.0,0.0,1.0,False,False,False,False
Bratwurst,0.0,0.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,False,False
Bratwurst,0.0,0.0,0.0,False,False,False,False
Bratwurst,1.0,1.0,0.0,False,False,True,False
Bratwurst,0.0,0.0,0.0,False,False,False,False
Breaded_Chicken_Filet,0.0,0.0,0.0,False,False,False,False
Breaded_Chicken_Filet,1.0,1.0,0.0,False,False,False,False
Breaded_Chicken_Filet,0.0,1.0,-1.0,False,False,False,False
Breaded_Chicken_Filet,0.0,1.0,-1.0,False,False,False,False
Breaded_Chicken_Filet,1.0,1.0,0.0,True,True,False,False
Breaded_Chicken_Filet,0.0,1.0,-1.0,False,False,False,False
Breaded_Chicken_Filet,1.0,0.0,1.0,False,False,True,False
Breaded_Chicken_Filet,0.0,1.0,-1.0,False,False,False,False
Breaded_Chicken_Filet,0.0,1.0,-1.0,False,False,False,False
Breaded_Chicken_Filet,0.0,1.0,-1.0,False,False,False,False
Breakfast_Sausages,1.0,0.0,1.0,False,False,True,False
Breakfast_Sausages,0.0,0.0,0.0,False,False,False,False
Breakfast_Sausages,0.0,1.0,-1.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,0.0,0.0,0.0,False,False,False,False
Breakfast_Sausages,0.0,0.0,0.0,False,False,False,False
Breakfast_Sausages,0.0,0.0,0.0,False,False,False,False
Breakfast_Sausages,0.0,1.0,-1.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,0.0,1.0,-1.0,False,False,False,False
Breakfast_Sausages,0.0,0.0,0.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,0.0,1.0,-1.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,1.0,0.0,1.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,0.0,0.0,0.0,True,True,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,True,True,True
Breakfast_Sausages,1.0,0.0,1.0,True,True,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,True,True,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
Breakfast_Sausages,0.0,0.0,0.0,False,False,False,False
Breakfast_Sausages,0.0,1.0,-1.0,False,False,True,False
Breakfast_Sausages,0.0,1.0,-1.0,False,False,False,False
Breakfast_Sausages,0.0,1.0,-1.0,False,False,False,False
Breakfast_Sausages,0.0,0.0,0.0,False,False,False,False
Breakfast_Sausages,1.0,0.0,1.0,False,False,False,False
Breakfast_Sausages,1.0,1.0,0.0,False,False,False,False
