k,iteration,pairwise_accuracy,spearman,recall_at_1,recall_at_3
1,0,0.6029561671763507,0.2558981453657377,0.19583333333333333,0.5375
1,1,0.6320081549439348,0.36692109186962235,0.10763888888888888,0.5034722222222222
1,2,0.5784913353720693,0.24270855845689146,0.18055555555555555,0.4270833333333333
1,3,0.627420998980632,0.3263228895561817,0.20833333333333334,0.45416666666666666
1,4,0.6279306829765545,0.3598672718160469,0.20138888888888887,0.5619047619047619
1,5,0.608053007135576,0.32184443363548176,0.16111111111111112,0.4916666666666667
1,6,0.5728848114169215,0.2193093720895105,0.1909722222222222,0.4458333333333333
1,7,0.6258919469928644,0.3724543878517372,0.20972222222222223,0.5231481481481481
1,8,0.5749235474006116,0.2667076669228762,0.2951388888888889,0.6437499999999999
1,9,0.6141692150866462,0.3179902528151145,0.19097222222222224,0.45416666666666666
1,10,0.589704383282365,0.24832476220069924,0.24583333333333335,0.575
1,11,0.617737003058104,0.33745467770463045,0.17500000000000002,0.59375
1,12,0.6539245667686034,0.4005311707444369,0.26875,0.6385912698412698
1,13,0.6182466870540265,0.33882170053567695,0.20486111111111108,0.6437499999999999
1,14,0.6411824668705403,0.414903424190412,0.2986111111111111,0.5868055555555556
1,15,0.5937818552497451,0.27805610771323935,0.2222222222222222,0.5091269841269841
1,16,0.6141692150866462,0.33185903852314236,0.16458333333333333,0.4833333333333334
1,17,0.6213047910295617,0.3083100393557965,0.19583333333333333,0.6291666666666667
1,18,0.5524974515800204,0.18152492732240758,0.16567460317460317,0.39285714285714285
1,19,0.6207951070336392,0.3300541801832069,0.13125,0.5326388888888889
1,20,0.6243628950050968,0.32805436550758205,0.2951388888888889,0.6631944444444444
1,21,0.6365953109072375,0.3775429581875912,0.22708333333333333,0.5381944444444444
1,22,0.6034658511722731,0.274202502287091,0.1840277777777778,0.5499999999999999
1,23,0.6197757390417941,0.36810020508452795,0.1763888888888889,0.5881944444444445
1,24,0.6238532110091743,0.34679002614663845,0.24791666666666667,0.5770833333333333
1,25,0.5998980632008155,0.2794453105196362,0.14583333333333334,0.39236111111111116
1,26,0.601427115188583,0.26560131172575746,0.06249999999999999,0.3590277777777778
1,27,0.6024464831804281,0.30844582069641546,0.08333333333333333,0.36041666666666666
1,28,0.6320081549439348,0.3946878695221055,0.16666666666666666,0.5381944444444445
1,29,0.6060142711518859,0.2722494156579344,0.3159722222222222,0.5625
1,30,0.6141692150866462,0.3069392308358776,0.3138888888888889,0.576388888888889
1,31,0.6019367991845056,0.2924229171957779,0.14583333333333334,0.44895833333333335
1,32,0.6126401630988787,0.29376375497031165,0.21527777777777776,0.548611111111111
1,33,0.5963302752293578,0.2703485020344997,0.20833333333333337,0.4840277777777778
1,34,0.6065239551478083,0.2739129721387365,0.15277777777777776,0.45357142857142857
1,35,0.6248725790010193,0.33715530660349174,0.2020833333333333,0.592361111111111
1,36,0.5988786952089704,0.2262406654450919,0.17361111111111108,0.48541666666666666
1,37,0.6156982670744139,0.3104122966887725,0.13194444444444445,0.5729166666666666
1,38,0.6228338430173292,0.3317559652997707,0.3104166666666667,0.5979166666666668
1,39,0.6218144750254841,0.28626914386350316,0.22916666666666666,0.6041666666666666
1,40,0.6258919469928644,0.33470426613291604,0.14375000000000002,0.5006944444444444
1,41,0.6233435270132518,0.29650253681839095,0.24305555555555555,0.6972222222222223
1,42,0.6391437308868502,0.4003911540139517,0.21527777777777776,0.5
1,43,0.6106014271151886,0.33552743695008563,0.2513888888888889,0.5631944444444444
1,44,0.626401630988787,0.32850184516102215,0.10208333333333335,0.40902777777777777
1,45,0.6345565749235474,0.3872179743890943,0.3083333333333333,0.7374999999999999
1,46,0.6131498470948012,0.31235152361982443,0.3055555555555555,0.5958333333333333
1,47,0.609072375127421,0.3353878534094677,0.24305555555555555,0.5020833333333333
1,48,0.5891946992864424,0.26520231978502296,0.2569444444444445,0.5694444444444444
1,49,0.5927624872579002,0.30355733484063063,0.23263888888888887,0.5548611111111111
1,50,0.5988786952089704,0.3001457086291935,0.20486111111111108,0.4930555555555556
1,51,0.6513761467889908,0.39011597240787227,0.2152777777777778,0.5128968253968255
1,52,0.6661569826707442,0.45848997721059415,0.23958333333333334,0.6840277777777777
1,53,0.6335372069317023,0.35877755236454734,0.3347222222222223,0.6638888888888889
1,54,0.5698267074413863,0.1915727659415478,0.17500000000000002,0.3756944444444444
1,55,0.6681957186544343,0.4609407342871919,0.19375,0.6715277777777778
1,56,0.5881753312945973,0.2157592227319779,0.15625,0.40902777777777777
1,57,0.6269113149847095,0.3410610005796617,0.25972222222222224,0.5309027777777778
1,58,0.6228338430173292,0.33345226534226163,0.13888888888888887,0.39831349206349204
1,59,0.5968399592252803,0.2991151746024173,0.22916666666666666,0.6
1,60,0.6238532110091743,0.3608276150058646,0.20138888888888887,0.4773148148148148
1,61,0.6345565749235474,0.3373925977196913,0.18402777777777776,0.5590277777777778
1,62,0.6309887869520897,0.358542802007316,0.15069444444444444,0.5013888888888889
1,63,0.5846075433231397,0.22044564376657227,0.24305555555555555,0.3819444444444445
1,64,0.6029561671763507,0.2902350707015443,0.15277777777777776,0.4979166666666666
1,65,0.6391437308868502,0.38330873572005364,0.24791666666666667,0.5493055555555556
1,66,0.6095820591233435,0.3037424442268752,0.2673611111111111,0.5823412698412698
1,67,0.6151885830784913,0.3201615226893502,0.20277777777777775,0.5416666666666666
1,68,0.6151885830784913,0.3029321395119644,0.3020833333333333,0.5499999999999999
1,69,0.6289500509683996,0.3455893568390045,0.2215277777777778,0.50625
